s xb yb zb psi xl yl zl xr yr zr
0.0000000000 0.6016021259 1.2002263147 0.5372926191 -0.3459713366 0.6886197890 1.4376641677 -0.2583452292 0.5145844627 0.9627884617 -0.2733026468
0.0714285714 0.8451913693 1.1175172111 0.5429309590 -0.4514011058 0.9526828958 1.3416126114 -0.2491567258 0.7376998428 0.8934218108 -0.2628880813
0.1428571429 1.0702567622 1.0177209822 0.5475379409 -0.5643317485 1.2003916466 1.2260090054 -0.2469733051 0.9401218777 0.8094329590 -0.2589672566
0.2142857143 1.2777404418 0.8966082105 0.5513019324 -0.6788143112 1.4307620878 1.0875714357 -0.2448315890 1.1247187958 0.7056449853 -0.2552060789
0.2857142857 1.4683740473 0.7517350216 0.5543950625 -0.7901963178 1.6429821696 0.9246169395 -0.2368025549 1.2937659251 0.5788531037 -0.2484961764
0.3571428571 1.6426787195 0.5824430840 0.5569732219 -0.8951217700 1.8364117457 0.7370615047 -0.2362851481 1.4489456934 0.4278246632 -0.2373990505
0.4285714286 1.8009651010 0.3898596091 0.5591760629 -0.9915311469 2.0105825738 0.5264200705 -0.2270100285 1.5913476281 0.2532991477 -0.2499469049
0.5000000000 1.9433333359 0.1768973516 0.5611269993 -1.0786614051 2.1651983153 0.2958065272 -0.2255463988 1.7214683566 0.0579881759 -0.2127267029
0.5714285714 2.0696730704 -0.0517453912 0.5629332067 -1.1570459791 2.3001345351 0.0499337159 -0.2274556946 1.8392116058 -0.1534244982 -0.2721420393
0.6428571429 2.1796634522 -0.2895847786 0.5646856220 -1.2285147806 2.4154387020 -0.2048865711 -0.2196639023 1.9438882025 -0.3742829861 -0.2702254355
0.7142857143 2.2727731308 -0.5283514271 0.5664589440 -1.2961941990 2.5113301886 -0.4607435904 -0.2207916489 2.0342160730 -0.5959592639 -0.2357155689
0.7857142857 2.3482602574 -0.7579904103 0.5683116328 -1.3645071013 2.5882002712 -0.7081276477 -0.2247686812 2.1083202436 -0.8078531730 -0.2276006088
0.8571428571 2.4051724850 -0.9666612587 0.5702859103 -1.4391728321 2.6466121298 -0.9359300976 -0.2211355411 2.1637328402 -0.9973924199 -0.2312385318
0.9285714286 2.4423469683 -1.1407379598 0.5724077600 -1.5272072134 2.6873008480 -1.1314433437 -0.2247830370 2.1973930885 -1.1500325759 -0.2373928794
1.0000000000 2.4584103636 -1.2648089580 0.5746869269 -1.6369225450 2.7111734135 -1.2803608384 -0.2202822206 2.2056473138 -1.2492570777 -0.2307969266
