s xb yb zb psi xl yl zl xr yr zr
0.0000000000 2.6321469620 -1.7101621120 0.6145045434 -1.4862708646 2.8826239431 -1.6887100404 -0.1943227346 2.3768867701 -1.7148926141 -0.1944938392
0.0500000000 2.5694464589 -2.0357495307 0.4608740592 -1.5235631595 2.1900043928 -1.5539124610 0.5492702296 1.9095970785 -1.8475920394 -0.1620727071
0.1000000000 2.3808733481 -1.7933638948 0.8588432037 -1.5488324753 1.7197293589 -1.4760687615 1.4754401879 1.4731440876 -1.6935358764 0.4262867274
0.1500000000 2.1245143682 -1.2810037257 1.5610692093 -1.5725916578 1.4480404983 -1.4047603285 2.4264459884 1.1276700501 -1.3611613054 1.3334581756
0.2000000000 1.8483193464 -0.7121027501 2.3710100756 -1.6015759588 1.3469051612 -1.3071190478 3.2893687389 0.9035975205 -0.9388674211 2.3678495571
0.2500000000 1.5906210482 -0.2266254629 3.1386896931 -1.6392763635 1.3852666812 -1.1655728228 3.9905248576 0.8067213471 -0.4966827938 3.3797670079
0.3000000000 1.3806550271 0.0978373106 3.7564629670 -1.6864729176 1.5302946670 -0.9755910931 4.4898791240 0.8233006643 -0.0879330295 4.2577788888
0.3500000000 1.2390794742 0.2349728515 4.1547809405 -1.7417680547 1.7486352931 -0.7434303532 4.7754577298 0.9251508855 0.2490916685 4.9250797933
0.4000000000 1.1784950677 0.1986509850 4.2979559186 -1.8021199232 2.0076615913 -0.4838796705 4.8577613300 1.0747356948 0.4894689398 5.3358545562
0.4500000000 1.2039648227 0.0318285173 4.1799265916 -1.8633757140 2.2767237415 -0.2180062044 4.7641780938 1.2302590397 0.6199767055 5.4716422617
0.5000000000 1.3135339407 -0.2045463268 3.8200231588 -1.9208049872 2.5283993627 0.0290992756 4.5333967550 1.3507571234 0.6374256077 5.3377002513
0.5500000000 1.4987496595 -0.4426294667 3.2587324521 -1.9696329999 2.7397438048 0.2305768713 4.2098196639 1.4011903973 0.5469914490 4.9593681324
0.6000000000 1.7451811025 -0.6187765288 2.5534630595 -2.0055740327 2.8935404387 0.3600520372 3.8379758373 1.3575355531 0.3605476314 4.3784317865
0.6500000000 2.0329391286 -0.6846384090 1.7743104486 -2.0253647178 2.9795509483 0.3938900622 3.4569340100 1.2118775154 0.0949975960 3.6494873771
0.7000000000 2.3371961816 -0.6182568356 0.9998220906 -2.0272973655 2.9957656210 0.3134505508 3.0947156853 0.9775014337 -0.2293927383 2.8363053583
0.7500000000 2.6287061402 -0.4351599318 0.3127625834 -2.0117532918 2.9496536391 0.1073419049 2.7627081864 0.6939846754 -0.5906625350 2.0081944826
0.8000000000 2.8743241672 -0.1994577788 -0.2041212242 -1.9817361456 2.8594133708 -0.2263241952 2.4500777068 0.4322888173 -0.9668236008 1.2363658097
0.8500000000 3.0375265595 -0.0349379779 -0.4723351096 -1.9434052356 2.7552226614 -0.6776783084 2.1181823617 0.2998516389 -1.3375279466 0.5902967139
0.9000000000 3.0789305976 -0.1361612138 -0.4218723523 -1.9066088582 2.6804891243 -1.2228387523 1.6949852386 0.4456791140 -1.6857353480 0.1340948931
0.9500000000 2.9568143952 -0.7795568169 0.0045513896 -1.8854176239 2.6931004321 -1.8216571211 1.0694674483 1.0654374034 -1.9993809060 -0.0771376232
1.0000000000 2.6276367488 -2.3345183260 0.8472632029 -1.8986577853 2.8666746078 -2.4154638044 0.0860411759 2.4065448471 -2.2730426080 -0.0009404663
