s xb yb zb psi xl yl zl xr yr zr
0.0000000000 2.6335300000 -1.7095640000 0.6139290406 -1.4862652762 2.8826373444 -1.6884563957 -0.1560709594 2.3844226556 -1.7306716043 -0.1758164147
0.0500000000 2.6416436500 -1.7732752950 0.6365753648 -1.5460644419 2.8889493252 -1.7669020201 -0.1179586445 2.3943379748 -1.7796485699 -0.1581827924
0.1000000000 2.6488646000 -1.8335720800 0.6580687849 -1.6017395271 2.8944928591 -1.8409169738 -0.0824909704 2.4032363409 -1.8262271862 -0.1414503745
0.1500000000 2.6551928500 -1.8904543550 0.6784093009 -1.6532905320 2.8992679459 -1.9105012568 -0.0496679371 2.4111177541 -1.8704074532 -0.1256191610
0.2000000000 2.6606284000 -1.9439221200 0.6975969127 -1.7007174564 2.9032745859 -1.9756548692 -0.0194895446 2.4179822141 -1.9121893708 -0.1106891518
0.2500000000 2.6651712500 -1.9939753750 0.7156316203 -1.7440203005 2.9065127789 -2.0363778110 0.0080442071 2.4238297211 -1.9515729390 -0.0966603471
0.3000000000 2.6688214000 -2.0406141200 0.7325134238 -1.7831990642 2.9089825249 -2.0926700821 0.0329333180 2.4286602751 -1.9885581579 -0.0835327467
0.3500000000 2.6715788500 -2.0838383550 0.7482423231 -1.8182537475 2.9106838240 -2.1445316826 0.0551777880 2.4324738760 -2.0231450274 -0.0713063506
0.4000000000 2.6734436000 -2.1236480800 0.7628183183 -1.8491843504 2.9116166761 -2.1919626124 0.0747776173 2.4352705239 -2.0553335476 -0.0599811590
0.4500000000 2.6744156500 -2.1600432950 0.7762414093 -1.8759908730 2.9117810813 -2.2349628716 0.0917328058 2.4370502187 -2.0851237184 -0.0495571717
0.5000000000 2.6744950000 -2.1930240000 0.7885115962 -1.8986733151 2.9111770395 -2.2735324602 0.1060433535 2.4378129605 -2.1125155398 -0.0400343888
0.5500000000 2.6736816500 -2.2225901950 0.7996288789 -1.9172316768 2.9098045508 -2.3076713781 0.1177092604 2.4375587492 -2.1375090119 -0.0314128103
0.6000000000 2.6719756000 -2.2487418800 0.8095932575 -1.9316659582 2.9076636152 -2.3373796253 0.1267305264 2.4362875848 -2.1601041347 -0.0236924361
0.6500000000 2.6693768500 -2.2714790550 0.8184047319 -1.9419761592 2.9047542325 -2.3626572019 0.1331071517 2.4339994675 -2.1803009081 -0.0168732663
0.7000000000 2.6658854000 -2.2908017200 0.8260633022 -1.9481622798 2.9010764030 -2.3835041079 0.1368391362 2.4306943970 -2.1980993321 -0.0109553009
0.7500000000 2.6615012500 -2.3067098750 0.8325689683 -1.9502243199 2.8966301264 -2.3999203432 0.1379264799 2.4263723736 -2.2134994068 -0.0059385399
0.8000000000 2.6562244000 -2.3192035200 0.8379217303 -1.9481622798 2.8914154030 -2.4119059079 0.1363691827 2.4210333970 -2.2265011321 -0.0018229833
0.8500000000 2.6500548500 -2.3282826550 0.8421215881 -1.9419761592 2.8854322325 -2.4194608019 0.1321672448 2.4146774675 -2.2371045081 0.0013913690
0.9000000000 2.6429926000 -2.3339472800 0.8451685418 -1.9316659582 2.8786806152 -2.4225850253 0.1253206660 2.4073045848 -2.2453095347 0.0037045169
0.9500000000 2.6350376500 -2.3361973950 0.8470625913 -1.9172316768 2.8711605508 -2.4212785781 0.1158294465 2.3989147492 -2.2511162119 0.0051164605
1.0000000000 2.6261900000 -2.3350330000 0.8478037366 -1.8986733151 2.8628720395 -2.4155414602 0.1036935862 2.3895079605 -2.2545245398 0.0056271996
