i,s,window_id,xb,yb,zb,psi,xl,yl,zl,xr,yr,zr,h_l,h_r,clear_l,clear_r,left_contact,right_contact
0,0.0,-1,2.63353,-1.709564,0.6139290405677755,-1.4862652762296822,2.8826373444153477,-1.6884563957225547,-0.19552720258134532,2.384422655584652,-1.7306716042774455,-0.17581641468048276,-0.20052720258134532,-0.18081641468048276,0.0050000000000000044,0.0050000000000000044,1,1
1,0.02857142857142857,-1,2.635870857142857,-1.7371902857142858,0.6236424717810357,-1.4862652762296658,2.8849782015582046,-1.7160826814368362,-0.1882132618910351,2.386763512727509,-1.7582978899917354,-0.16250042026659398,-0.1932132618910351,-0.16750042026659398,0.0050000000000000044,0.0050000000000000044,1,1
2,0.05714285714285714,-1,2.638211714285714,-1.7648165714285713,0.6342268545701957,-1.486265276229683,2.887319058701062,-1.743708967151126,-0.17914262584713841,2.3891043698703665,-1.7859241757060165,-0.14904580234687526,-0.18414262584713842,-0.15404580234687526,0.0050000000000000044,0.0050000000000000044,1,1
3,0.08571428571428572,-1,2.640552571428571,-1.7924428571428572,0.6455155482853312,-1.4862652762296504,2.8896599158439185,-1.7713352528654038,-0.16829307998930607,2.391445227013224,-1.8135504614203106,-0.13584243513400635,-0.17329307998930607,-0.14084243513400635,0.0050000000000000044,0.0050000000000000044,1,1
4,0.11428571428571428,-1,2.642893428571429,-1.820069142857143,0.6573413073717786,-1.4862652762296982,2.892000772986777,-1.7989615385797015,-0.15572598773678087,2.3937860841560807,-1.8411767471345843,-0.12317785653968372,-0.16072598773678087,-0.12817785653968372,0.0050000000000000044,0.0050000000000000044,1,1
5,0.14285714285714285,-1,2.6452342857142854,-1.8476954285714287,0.669511045286037,-1.4862652762296658,2.894341630129633,-1.826587824293979,-0.14163859508130483,2.3961269412989377,-1.8688030328488783,-0.11125382099209614,-0.14663859508130483,-0.11625382099209615,0.0050000000000000044,0.0050000000000000044,1,1
6,0.17142857142857143,-1,2.647575142857143,-1.8753217142857141,0.6817883281486857,-1.486265276229667,2.8966824872724906,-1.604214110008265,-0.20759329429960335,2.398467798441795,-1.8964293185631633,-0.10020568232108709,-0.21259329429960336,-0.1052056823210871,0.0050000000000000044,0.0050000000000000044,1,1
7,0.2,-1,2.649916,-1.902948,0.6938968227291304,-1.486265276229683,3.149023344415348,-1.6318403957225547,-0.19221284188963594,2.4008086555846524,-1.9240556042774453,-0.09011340365724532,-0.19721284188963595,-0.09511340365724533,0.0050000000000000044,0.0050000000000000044,1,1
8,0.22857142857142856,-1,2.652256857142857,-1.930574285714286,0.7055479922072381,-1.4862652762296815,3.151364201558205,-1.6594666814368404,-0.1896433908338372,2.4031495127275093,-1.9516818899917316,-0.08100100269984098,-0.1946433908338372,-0.08600100269984098,0.0050000000000000044,0.0050000000000000044,1,1
9,0.2571428571428571,-1,2.654597714285714,-1.9582005714285715,0.7164861067906859,-1.4862652762296658,2.9037050587010618,-1.937092967151122,-0.07979382153641293,2.4054903698703662,-1.9793081757060211,-0.07282797669811819,-0.08479382153641293,-0.0778279766981182,0.0050000000000000044,0.0050000000000000044,1,1
10,0.2857142857142857,-1,2.6569385714285714,-1.985826857142857,0.72653754633387,-1.4862652762296664,2.906045915843919,-1.9647192528654076,-0.06620272807448489,2.4078312270132236,-2.006934461420306,-0.0654793182591531,-0.0712027280744849,-0.0704793182591531,0.0050000000000000044,0.0050000000000000044,1,1
