s xb yb zb psi xl yl zl xr yr zr
0.0000000000 2.6325677431 -1.7096459968 0.6139019986 -1.4863455757 2.8876371108 -1.6892073288 -0.2123849905 2.3717984362 -1.7309252344 -0.1935299949
0.0500000000 2.2799419680 -0.7791012392 3.9386551839 -1.5880062734 2.0398214802 -0.7009964256 3.0495701575 1.4351071118 -0.8206086958 3.6634537760
0.1000000000 1.8415196343 -0.7237153890 4.7129039746 -1.6817326295 1.2730123635 -0.6421383942 4.0431562026 0.9962427509 -1.0969998088 4.5823287640
0.1500000000 1.5152952009 -1.0683665087 3.9981240673 -1.6614424255 0.7815332338 -1.0733196485 3.5258066263 0.8396628835 -1.7009530096 3.9619873626
0.2000000000 1.3668082816 -1.4739078866 2.6805319973 -1.5382638245 0.6051439257 -1.6445499300 2.2989720015 0.8342185160 -2.1885553455 2.7888066822
0.2500000000 1.3817249396 -1.7358128255 1.4092346979 -1.3760340823 0.6929480033 -2.1153263109 1.0405438819 0.9036539725 -2.3937767357 1.6918144623
0.3000000000 1.5055401146 -1.7697648818 0.5766949734 -1.2468994284 0.9516181668 -2.3569315498 0.2114790046 1.0047620852 -2.3201222828 1.0039023093
0.3500000000 1.6719922753 -1.5875836508 0.3334652495 -1.2040987136 1.2798216779 -2.3406311374 0.0238707710 1.1121838501 -2.0582709850 0.8264481487
0.4000000000 1.8217813884 -1.2668761980 0.6291419705 -1.2690134159 1.5907277889 -2.1155333686 0.4577149703 1.2088416631 -1.7266851983 1.0947097837
0.4500000000 1.9131812982 -0.9178042323 1.2714930087 -1.4295665996 1.8244791569 -1.7798767795 1.3136167074 1.2809952533 -1.4321751973 1.6413514477
0.5000000000 1.9261376078 -0.6503571212 1.9957104522 -1.6470534206 1.9525092256 -1.4495092849 2.2886855020 1.3169094282 -1.2474031862 2.2554652419
0.5500000000 1.8614421537 -0.5455208444 2.5357411394 -1.8684857735 1.9755875580 -1.2273233556 3.0628655206 1.3081227467 -1.2023111070 2.7344493476
0.6000000000 1.7365751680 -0.6337329839 2.6896473053 -2.0415336720 1.9174751022 -1.1774115704 3.3829479057 1.2523062362 -1.2864565956 2.9261049028
0.6500000000 1.5798062184 -0.8840138494 2.3709497073 -2.1291459588 1.8160713726 -1.3077068822 3.1315121672 1.1567012687 -1.4592414350 2.7583134334
0.7000000000 1.4241450190 -1.2071638361 1.6379055967 -2.1209329369 1.7139355300 -1.5648719338 2.3680435981 1.0411257127 -1.6650168558 2.2536567286
0.7500000000 1.3027332049 -1.4764171133 0.6926739031 -2.0383935181 1.6500633418 -1.8452017615 1.3294736806 0.9395374751 -1.8500500317 1.5263410497
0.8000000000 1.2472681618 -1.5689417408 -0.1576800027 -1.9310694805 1.6548020070 -2.0253042238 0.3773904435 0.8991445507 -1.9783361207 0.7587875637
0.8500000000 1.2910500031 -1.4315763130 -0.5863875986 -1.8607094308 1.7497848260 -2.0163224917 -0.1208342616 0.9760506931 -2.0432402019 0.1552508904
0.9000000000 1.4782427872 -1.1741932259 -0.3864361897 -1.8705250639 1.9547676997 -1.8454639382 0.0102463956 1.2264258244 -2.0719534560 -0.1301723477
0.9500000000 1.8809410671 -1.1940786679 0.3276687933 -1.9366223148 2.3032494406 -1.7685997650 0.4648562248 1.6921902981 -2.1197479395 -0.0937830804
1.0000000000 2.6256328639 -2.3347194298 0.8477905417 -1.8986899952 2.8687578766 -2.4176997023 0.0623558248 2.3802021319 -2.2510143024 -0.0134055636
