i,s,window_id,xb,yb,xl,yl,zl,xr,yr,zr,left_contact,right_contact
0,0.0,-1,2.63353,-1.709564,2.8826373444153477,-1.6884563957225547,-0.19552720258134532,2.384422655584652,-1.7306716042774455,-0.17581641468048276,1,1
1,0.02857142857142857,-1,2.635870857142857,-1.7371902857142858,2.8849782015582046,-1.7160826814368362,-0.1882132618910351,2.386763512727509,-1.7582978899917354,-0.16250042026659398,1,1
2,0.05714285714285714,-1,2.638211714285714,-1.7648165714285713,2.887319058701062,-1.743708967151126,-0.17914262584713841,2.3891043698703665,-1.7859241757060165,-0.14904580234687526,1,1
3,0.08571428571428572,-1,2.640552571428571,-1.7924428571428572,2.8896599158439185,-1.7713352528654038,-0.16829307998930607,2.391445227013224,-1.8135504614203106,-0.13584243513400635,1,1
4,0.11428571428571428,-1,2.642893428571429,-1.820069142857143,2.892000772986777,-1.7989615385797015,-0.15572598773678087,2.3937860841560807,-1.8411767471345843,-0.12317785653968372,1,1
5,0.14285714285714285,-1,2.6452342857142854,-1.8476954285714287,2.894341630129633,-1.826587824293979,-0.14163859508130483,2.3961269412989377,-1.8688030328488783,-0.11125382099209614,1,1
6,0.17142857142857143,-1,2.647575142857143,-1.8753217142857141,2.8966824872724906,-1.604214110008265,-0.20759329429960335,2.398467798441795,-1.8964293185631633,-0.10020568232108709,1,1
7,0.2,0,2.649916,-1.902948,2.899023344415348,-1.881840395722555,-0.08556155196662574,2.4008086555846524,-1.9240556042774453,-0.09011340365724532,0,1
8,0.22857142857142856,0,2.652256857142857,-1.930574285714286,2.901364201558205,-1.9094666814368404,-0.006836622423695579,2.4031495127275093,-1.9516818899917316,-0.08100100269984098,0,1
9,0.2571428571428571,0,2.654597714285714,-1.9582005714285715,2.9037050587010618,-1.937092967151122,0.14239771458483344,2.4054903698703662,-1.9793081757060211,-0.07282797669811819,0,1
10,0.2857142857142857,0,2.6569385714285714,-1.985826857142857,2.906045915843919,-1.9647192528654076,0.051632051593362496,2.4078312270132236,-2.006934461420306,-0.0654793182591531,0,1
11,0.3142857142857143,0,2.6592794285714287,-2.0134531428571427,2.9083867729867765,-1.9923455385796973,-0.029454522379306153,2.410172084156081,-2.0345607471345883,-0.05876041108831239,0,1
12,0.34285714285714286,-1,2.6616202857142857,-2.0410794285714284,2.9107276301296334,-2.019971824293983,-0.044715119468999746,2.412512941298938,-2.062187032848874,-0.052401258971023684,1,1
13,0.37142857142857144,1,2.6639611428571426,-2.068705714285714,2.9130684872724903,-2.047598110008265,-0.03684313323735622,2.414853798441795,-2.0898133185631633,-0.021072852335650573,1,0
14,0.4,1,2.666302,-2.096332,2.9154093444153477,-2.0752243957225507,-0.03040860928214852,2.417194655584652,-2.117439604277449,-0.006836622423695579,1,0
15,0.42857142857142855,1,2.6686428571428573,-2.1239582857142856,2.917750201558205,-2.10285068143684,-0.0247621405426693,2.4195355127275096,-2.145065889991731,0.14239771458483344,1,0
16,0.45714285714285713,1,2.6709837142857142,-2.1515845714285713,2.920091058701062,-2.1304769671511257,-0.0191431174528008,2.4218763698703665,-2.172692175706017,0.051632051593362496,1,0
17,0.4857142857142857,1,2.673324571428571,-2.179210857142857,2.923307358859355,-2.182144453627645,-0.006277508601788562,2.4233417839977873,-2.176277260658069,0.0023645889968161755,1,0
18,0.5142857142857142,2,2.6731148571428567,-2.1970813999999996,2.909796896683964,-2.277589860168243,0.03080985618414185,2.4364328176017493,-2.116572939831756,-0.014070553035096744,1,0
19,0.5428571428571428,2,2.6703545714285712,-2.2051961999999996,2.907036610969676,-2.2857046601682507,0.034463743619298555,2.4336725318874666,-2.1246877398317485,0.1101007256104205,1,0
20,0.5714285714285714,2,2.6675942857142854,-2.213311,2.9042763252553927,-2.2938194601682436,0.03811597390435748,2.430912246173178,-2.1328025398317565,0.2593350626189495,1,0
21,0.6,2,2.664834,-2.2214258,2.9015160395411033,-2.301934260168255,0.04174387538390514,2.4281519604588966,-2.140917339831745,0.16856939962747855,1,0
22,0.6285714285714286,2,2.662073714285714,-2.2295406,2.8987557538268214,-2.3100490601682435,0.04532449896253772,2.4253916747446067,-2.1490321398317564,0.07780373663600756,1,0
23,0.6571428571428571,-1,2.6593134285714286,-2.2376554,2.895995468112532,-2.318163860168255,0.04883497511512856,2.4226313890303253,-2.157146939831745,-0.02854171385504369,1,1
24,0.6857142857142857,3,2.6565531428571427,-2.2457702,2.89323518239825,-2.3262786601682435,0.07725286954760549,2.4198711033160354,-2.1652617398317564,-0.026194785143534124,0,1
25,0.7142857142857143,3,2.6537928571428573,-2.253885,2.8904748966839606,-2.334393460168255,0.1101007256104205,2.417110817601754,-2.173376539831745,-0.023755008227911757,0,1
26,0.7428571428571429,3,2.6510325714285714,-2.2619998,2.887714610969676,-2.342508260168251,0.2593350626189495,2.4143505318874667,-2.181491339831749,-0.021219487917851245,0,1
27,0.7714285714285715,3,2.6482722857142855,-2.2701146000000003,2.8849543252553915,-2.350623060168248,0.16856939962747855,2.4115902461731795,-2.189606139831753,-0.018586760116128403,0,1
28,0.8,3,2.645512,-2.2782294,2.8821940395411048,-2.358737860168251,0.08958419358997091,2.4088299604588954,-2.1977209398317488,-0.015856882096649365,0,1
29,0.8285714285714286,-1,2.642751714285714,-2.2863442000000003,2.879433753826816,-2.3668526601682593,0.06724125491538378,2.406069674744612,-2.205835739831741,-0.013031502522866004,1,1
30,0.8571428571428571,-1,2.6399914285714283,-2.294459,2.876673468112533,-2.374967460168251,0.06969838919608877,2.4033093890303237,-2.2139505398317487,-0.010113908394216796,1,1
31,0.8857142857142857,-1,2.6372311428571424,-2.3025738000000002,2.873913182398246,-2.3830822601682553,0.07194472326474428,2.400549103316039,-2.222065339831745,-0.007109046490832286,1,1
32,0.9142857142857143,-1,2.6344708571428566,-2.3106886,2.8711528966839626,-2.3911970601682477,0.07397188211913706,2.3977888176017506,-2.2301801398317527,-0.004023517368548933,1,1
33,0.9428571428571428,-1,2.631710571428571,-2.3188033999999997,2.86839261096968,-2.3993118601682393,0.0757740783194752,2.3950285318874625,-2.23829493983176,-0.0008655405256703611,1,1
34,0.9714285714285714,-1,2.6289502857142857,-2.3269182,2.865632325255389,-2.4074266601682552,0.07734815550621486,2.3922682461731823,-2.246409739831745,0.0023551099965235392,1,1
35,1.0,-1,2.62619,-2.335033,2.862872039541103,-2.415541460168255,0.07869358615406175,2.3895079604588965,-2.254524539831745,0.005627199623819663,1,1
