s xb yb zb psi xl yl zl xr yr zr
0.0000000000 2.6327604701 -1.7066206062 0.6139630784 -1.5033069680 2.8812283135 -1.6950935676 -0.1685340995 2.3842926266 -1.7235399281 -0.1791397046
0.0500000000 2.6384623049 -1.7611068905 0.6313644506 -1.4643559783 2.8883641676 -1.7322237712 -0.2140535425 2.3885604422 -1.7876014279 -0.1495350804
0.1000000000 2.6419580049 -1.8071548758 0.6517628619 -1.4937096199 2.8908885231 -1.7604318853 -0.1753144159 2.3930274866 -1.8264241740 -0.1247186973
0.1500000000 2.6452000895 -1.8522328016 0.6729206418 -1.5100397065 2.8934995018 -1.7932035363 -0.1108590761 2.3969006772 -1.8674902659 -0.1091901011
0.2000000000 2.6490701450 -1.8997126684 0.6935374190 -1.4963701338 2.8977258464 -1.8367493653 -0.0533315065 2.4004144435 -1.9183430055 -0.0977145894
0.2500000000 2.6536942835 -1.9500768459 0.7129106712 -1.4678945499 2.9032678466 -1.8920756116 -0.0165489310 2.4041207204 -1.9757183738 -0.0827556786
0.3000000000 2.6587165416 -2.0019638007 0.7306923409 -1.4495153747 2.9089915403 -1.9567669815 -0.0016424954 2.4084415430 -2.0321213196 -0.0590071500
0.3500000000 2.6635302170 -2.0530529424 0.7467268714 -1.4617014063 2.9136195852 -2.0264894915 -0.0022671992 2.4134408488 -2.0801923988 -0.0255243939
0.4000000000 2.6674671443 -2.1007885887 0.7609560215 -1.5132612484 2.9161621982 -2.0962209722 -0.0088812560 2.4187720904 -2.1152103059 0.0140452306
0.4500000000 2.6699449092 -2.1429430494 0.7733758126 -1.5996297983 2.9161315564 -2.1612169220 -0.0120950631 2.4237582620 -2.1360758363 0.0526333029
0.5000000000 2.6705720020 -2.1780188291 0.7840309660 -1.7052650302 2.9135830587 -2.2177193967 -0.0050899603 2.4275609452 -2.1451228205 0.0818227973
0.5500000000 2.6692109092 -2.2054899494 0.7930321852 -1.8087523108 2.9090268419 -2.2634166243 0.0148930414 2.4293949764 -2.1471015703 0.0943223711
0.6000000000 2.6659991443 -2.2258823887 0.8005816402 -1.8892134839 2.9032529485 -2.2976610314 0.0459943825 2.4287453401 -2.1476803756 0.0863427666
0.6500000000 2.6613282170 -2.2406936424 0.8069920091 -1.9326179607 2.8971135418 -2.3214533700 0.0821067480 2.4255428922 -2.1518105944 0.0593756089
0.7000000000 2.6557805416 -2.2521514007 0.8126844339 -1.9365930523 2.8913055654 -2.3372006319 0.1141753513 2.4202555178 -2.1623008736 0.0208748834
0.7500000000 2.6500242835 -2.2628113459 0.8181507448 -1.9123307807 2.8861972418 -2.3482554378 0.1324275283 2.4138513252 -2.1789460422 -0.0166586270
0.8000000000 2.6446661450 -2.2749940684 0.8238653117 -1.8821884056 2.8817418071 -2.3582445904 0.1295314622 2.4075904828 -2.1985562165 -0.0386896604
0.8500000000 2.6400620895 -2.2900611016 0.8301318766 -1.8715799026 2.8775218782 -2.3701944772 0.1046838597 2.4026023008 -2.2162316573 -0.0342572694
0.9000000000 2.6360860049 -2.3075300758 0.8368507237 -1.8937556303 2.8729678481 -2.3854610130 0.0686263960 2.3992041616 -2.2282289192 -0.0046798063
0.9500000000 2.6318563049 -2.3240289905 0.8431915443 -1.9260674226 2.8677937051 -2.4024718075 0.0495907521 2.3959189047 -2.2367638322 0.0241441820
1.0000000000 2.6254204701 -2.3320896062 0.8471573502 -1.8763163423 2.8626936732 -2.4152882472 0.1001720616 2.3881472669 -2.2570968557 -0.0146605682
