s xb yb zb psi xl yl zl xr yr zr
0.0000000000 2.6345300070 -1.7085640064 0.6129290611 -1.4852652912 2.8928882392 -1.7221343317 -0.1928909308 2.3712815496 -1.7328391870 -0.1820143077
0.0500000000 2.6537376835 -1.8064676688 0.6550874449 -1.4898831403 2.8795108434 -1.8143855206 -0.1424200495 2.3986372599 -1.7913911349 -0.1518931691
0.1000000000 2.6667876095 -1.8882070003 0.6877872723 -1.5141445522 2.8760651226 -1.8886345386 -0.0946534251 2.4129886259 -1.8420485947 -0.1282269234
0.1500000000 2.6749183136 -1.9562314767 0.7130319297 -1.5516431305 2.8789137104 -1.9498260555 -0.0492172965 2.4196118015 -1.8861438327 -0.1097792899
0.2000000000 2.6791985820 -2.0127220247 0.7325250109 -1.5970133837 2.8852003180 -2.0019094371 -0.0061422503 2.4223737569 -1.9248944620 -0.0954410822
0.2500000000 2.6805395172 -2.0596071041 0.7476933875 -1.6458564139 2.8927664427 -2.0479331916 0.0342210191 2.4239104604 -1.9593962416 -0.0842293876
0.3000000000 2.6797065969 -2.0985787898 0.7597102794 -1.6946656061 2.9000680768 -2.0901394158 0.0712859491 2.4258050588 -1.9906158747 -0.0752867459
0.3500000000 2.6773317324 -2.1311088537 0.7695183250 -1.7407523170 2.9060924157 -2.1300582412 0.1043143483 2.4287660590 -2.0193838073 -0.0678803289
0.4000000000 2.6739253276 -2.1584648470 0.7778526514 -1.7821715644 2.9102745664 -2.1686022805 0.1325006368 2.4328055087 -2.0463870263 -0.0614011196
0.4500000000 2.6698883375 -2.1817261822 0.7852639449 -1.8176477154 2.9124142566 -2.2061610740 0.1550560853 2.4374171780 -2.0721618586 -0.0553630913
0.5000000000 2.6655243271 -2.2018002150 0.7921415214 -1.8465001765 2.9125925426 -2.2426955355 0.1712930552 2.4417547397 -2.0970867691 -0.0494023869
0.5500000000 2.6610515298 -2.2194383268 0.7987363963 -1.8685690817 2.9110885182 -2.2778323989 0.1807092381 2.4448099511 -2.1213751591 -0.0432764982
0.6000000000 2.6566149065 -2.2352520061 0.8051843552 -1.8841409818 2.9082960230 -2.3109586643 0.1830718956 2.4455908347 -2.1450681654 -0.0368634448
0.6500000000 2.6522982040 -2.2497289313 0.8115290242 -1.8938745336 2.9046403511 -2.3413160446 0.1785020990 2.4432998594 -2.1680274582 -0.0301609539
0.7000000000 2.6481360140 -2.2632490520 0.8177449401 -1.8987261887 2.9004949596 -2.3680954112 0.1675589688 2.4375121216 -2.1899280397 -0.0232856388
0.7500000000 2.6441258314 -2.2761006719 0.8237606205 -1.8998758826 2.8960981772 -2.3905312410 0.1513239146 2.4283535260 -2.2102510429 -0.0164721787
0.8000000000 2.6402401134 -2.2884965302 0.8294816347 -1.8986527235 2.8914699125 -2.4079960622 0.1314848750 2.4166789673 -2.2282765295 -0.0100724978
0.8500000000 2.6364383379 -2.3005898839 0.8348136735 -1.8964606817 2.8863283626 -2.4200949008 0.1104205566 2.4042505107 -2.2430762891 -0.0045549441
0.9000000000 2.6326790626 -2.3124905899 0.8396856196 -1.8947042782 2.8800067219 -2.4267597265 0.0912846747 2.3939155731 -2.2535066370 -0.0005034694
0.9500000000 2.6289319834 -2.3242811871 0.8440726183 -1.8947142740 2.8713698903 -2.4283438997 0.0780901919 2.3897851043 -2.2582012132 0.0013831924
1.0000000000 2.6251899929 -2.3360329782 0.8480191473 -1.8976733589 2.8587311819 -2.4257166171 0.0757935587 2.3974117682 -2.2555637805 0.0002923452
