s xb yb zb psi xl yl zl xr yr zr
0.0000000000 2.5935784916 -1.6965427101 0.6476386329 -1.4888070488 2.9918316397 -1.6408236894 -0.0203539633 2.1140400051 -1.7030638396 -0.1167735086
0.0500000000 2.6502104834 -1.8058866622 3.6174993005 1.0266429068 2.6632010339 -1.9119932496 2.7147284094 1.6296714585 -2.1025582500 3.4674163134
0.1000000000 2.4341367236 -1.3372201648 4.9805576131 3.2129578627 2.2850685555 -1.6792733629 4.0856343185 1.1720471950 -1.7963766793 5.1745896567
0.1500000000 2.1022764559 -0.6368285930 5.2676062295 4.7614471663 1.9268689241 -1.2100224985 4.5380402913 0.7872760918 -1.1654132054 5.6287510864
0.2000000000 1.7651879663 0.0507643696 4.8983885199 5.5129361096 1.6324174514 -0.6983548930 4.4238072300 0.5022001832 -0.4844696237 5.3206893817
0.2500000000 1.4932868788 0.5694724085 4.1931510571 5.4345036601 1.4238384908 -0.2742458870 4.0107420332 0.3273338424 0.0644247859 4.6221133259
0.3000000000 1.3230644505 0.8383222560 3.3841961082 4.5962201903 1.3054938880 -0.0126372623 3.4923592166 0.2598029636 0.3786934897 3.7997874964
0.3500000000 1.2633058675 0.8381293685 2.6274341256 3.1478852083 1.2679114310 0.0574574213 2.9976425348 0.2862841439 0.4218929331 3.0296680548
0.4000000000 1.3013085402 0.5981736044 2.0139362384 1.2957650877 1.2917133002 -0.0561525110 2.6008066022 0.3859438652 0.2103927717 2.4110385367
0.4500000000 1.4091003990 0.1828749017 1.5814867440 -0.7206692017 1.3515445190 -0.3179401861 2.3310585141 0.5333776760 -0.1999438961 1.9806456420
0.5000000000 1.5496581893 -0.3215310444 1.3261355991 -2.6520043644 1.4200014036 -0.6737665198 2.1823594684 0.7015493736 -0.7270802981 1.7268350245
0.5500000000 1.6831257678 -0.8203171043 1.2137509113 -4.2621470486 1.4715600132 -1.0599855539 2.1231863861 0.8647301857 -1.2761257556 1.6036870824
0.6000000000 1.7730323972 -1.2235890354 1.1915714300 -5.3515861161 1.4865046005 -1.4125497932 2.1062935332 1.0014379527 -1.7526554520 1.5451527479
0.6500000000 1.7925110422 -1.4596098057 1.1997590386 -5.7806549119 1.4548560617 -1.6761155422 2.0784741416 1.0973763093 -2.0760302006 1.4791892775
0.7000000000 1.7305166650 -1.4881239151 1.1829512449 -5.4927935346 1.3803003867 -1.8131482423 1.9903220302 1.1483738665 -2.1927162132 1.3418960417
0.7500000000 1.5980445204 -1.3136817186 1.1018136730 -4.5378111055 1.2841171093 -1.8130278090 1.8059932264 1.1633233935 -2.0896048675 1.0916503155
0.8000000000 1.4343484517 -0.9989637482 0.9445925544 -3.0951480390 1.2091077575 -1.7011539683 1.5129675870 1.1671210000 -1.8073324762 0.7232430678
0.8500000000 1.3131591863 -0.6781050354 0.7386672196 -1.4971383119 1.2235243036 -1.5480515941 1.1318104199 1.2036053174 -1.4536000540 0.2820147519
0.9000000000 1.3489026306 -0.5700194335 0.5621025892 -0.2522717337 1.4249976143 -1.4784760451 0.7259341047 1.3384966816 -1.2164930867 -0.1220089048
0.9500000000 1.7029181662 -0.9917239405 0.5552016651 -0.0684562160 1.9444659011 -1.6805185016 0.4113597144 1.6623363140 -1.3778012986 -0.2999811105
1.0000000000 2.5896769448 -2.3716630206 0.9320580225 -1.8762800428 2.9501031705 -2.4147113026 0.3664786364 2.2934255042 -2.3263384213 0.0299017806
