s xb yb zb psi xl yl zl xr yr zr
0.0000000000 0.6009985747 1.2009969088 0.5373344321 -0.3599357589 0.6889346480 1.4381386911 -0.2583479751 0.5141294216 0.9626200126 -0.2733312522
0.0714285714 0.8446291628 1.1108818648 0.5430031788 -0.4271093041 0.9531443166 1.3421910659 -0.2491357626 0.7376025793 0.8932885337 -0.2628960247
0.1428571429 1.0710230783 1.0071745540 0.5481460214 -0.5208903478 1.2008314000 1.2267108155 -0.2469344136 0.9395925647 0.8092372847 -0.2589780742
0.2142857143 1.2807488468 0.8846167264 0.5526979966 -0.6294431999 1.4310943383 1.0883677248 -0.2448141478 1.1233476652 0.7053306366 -0.2552572832
0.2857142857 1.4741730598 0.7399113721 0.5566236955 -0.7431163288 1.6431864071 0.9254458744 -0.2367997626 1.2914515406 0.5783988913 -0.2485899184
0.3571428571 1.6514603750 0.5717227218 0.5599172636 -0.8544423613 1.8365157180 0.7378436418 -0.2362572158 1.4458232235 0.4272382820 -0.2376007732
0.4285714286 1.8125735160 0.3806762464 0.5626024013 -0.9581380828 2.0106452183 0.5270737000 -0.2270179343 1.5877171187 0.2526109727 -0.2500416866
0.5000000000 1.9572732723 0.1693586571 0.5647323635 -1.0511044369 2.1652926912 0.2962630189 -0.2255425209 1.7177230039 0.0572450589 -0.2123209800
0.5714285714 2.0851184998 -0.0576820942 0.5663899597 -1.1324265259 2.3003307555 0.0501528641 -0.2274367158 1.8357660290 -0.1541654333 -0.2735794371
0.6428571429 2.1954661201 -0.2939368158 0.5676875538 -1.2033736105 2.4157868660 -0.2049012022 -0.2196356283 1.9411067166 -0.3749605464 -0.2718727388
0.7142857143 2.2874711207 -0.5309350753 0.5687670646 -1.2673991099 2.5118433132 -0.4609293219 -0.2207970158 2.0323409617 -0.5965143917 -0.2361636395
0.7857142857 2.3600865554 -0.7582452001 0.5697999652 -1.3301406016 2.5888372232 -0.7083473405 -0.2247505197 2.1074000319 -0.8082351497 -0.2275759922
0.8571428571 2.4120635440 -0.9634742771 0.5709872835 -1.3994198219 2.6472605582 -0.9359568073 -0.2211200893 2.1635505674 -0.9975650698 -0.2312377870
0.9285714286 2.4419512721 -1.1322681530 0.5725596019 -1.4852426652 2.6877601160 -1.1309449754 -0.2247647975 2.1973945807 -1.1499804699 -0.2373931308
1.0000000000 2.4480969914 -1.2483114342 0.5747770574 -1.5997991846 2.7111375302 -1.2788848017 -0.2203729918 2.2048694571 -1.2489917374 -0.2308751594
